object_id,object_key,crowdsourced,in_tagsconfig,tagsconfig_categories,pivot_categories,tagged_categories,total_tag_rows,total_items,total_photos,pairs_total,pairs_pivotless,pivotless_items,cfg_materials,cfg_types,rows_with_type,ref_tagsconfig,ref_brandsconfig,ref_classifyservice,ref_fixorphaned,ref_translations,ref_other_app_code,duplicate_candidates,duplicate_reason
148,rollingPapers,1,no,,,smoking,525,546,525,1,1,546,,,0,0,0,1,1,1,0,,
74,rope,0,yes,marine,marine,marine,3576,4670,3497,1,0,0,nylon|plastic|polyester,small|medium|large,0,1,0,8,0,0,0,,
48,sachet,0,yes,food,food,food,5,5,5,1,0,0,plastic|foil|paper,,0,1,0,0,0,0,0,,
112,sanitary_pad,0,yes,sanitary,sanitary,sanitary,6,6,6,1,0,0,cotton|plastic,,0,1,0,0,0,0,0,,
85,sanitiser,0,yes,medical,medical,medical|sanitary,43,54,43,2,1,53,plastic,,0,1,0,1,1,1,0,,
75,shellfish_bag,0,yes,marine,marine,,0,0,0,0,0,0,plastic,,0,1,0,0,0,0,0,,
76,shotgun_cartridge,0,yes,marine,marine,marine,79,81,79,1,0,0,metal|plastic,,0,1,0,0,0,0,0,shotgun_cartridges#193,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
193,shotgun_cartridges,1,no,,,marine,493,725,493,1,1,725,,,0,0,0,0,1,1,1,shotgun_cartridge#76,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
11,six_pack_rings,0,yes,alcohol,alcohol,alcohol,236,271,236,1,0,0,plastic|cardboard,,0,1,3,0,0,1,1,,
49,skewer,0,yes,food,food,,0,0,0,0,0,0,wood|bamboo|metal,,0,1,0,0,0,0,0,,
27,sleeve,0,yes,coffee,coffee,coffee,4,4,4,1,0,0,cardboard|silicone,,0,1,9,0,0,0,0,,
142,soda_can,1,no,,,softdrinks,16462,18034,16462,1,1,18034,,,0,0,6,1,2,1,0,,
144,spirits_bottle,1,no,,,alcohol,2661,3457,2661,1,1,3457,,,0,0,1,1,1,1,1,,
143,sports_bottle,1,no,,,softdrinks,2931,3277,2931,1,1,3277,,,0,0,5,1,1,1,0,,
24,stirrer,0,yes,coffee,coffee,coffee,13,13,13,1,0,0,wood|plastic|metal|bamboo,,0,1,4,0,0,1,0,,
25,straw,0,yes,coffee|food|softdrinks,coffee|food|softdrinks,coffee|food|softdrinks,247,261,247,3,0,0,plastic|paper|metal|bamboo,,0,3,0,0,0,2,0,straws#150,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
172,straw_packaging,1,no,,,softdrinks,1039,1111,1039,1,1,1111,,,0,0,0,1,1,1,0,,
126,straw_wrapper,0,yes,softdrinks,softdrinks,softdrinks,59,59,59,1,0,0,paper|plastic,,0,1,0,0,0,0,0,,
150,straws,1,no,,,marine|softdrinks,7543,8664,7543,2,2,8664,,,0,0,9,1,2,1,1,straw#25,"normalised key match (lowercase/underscore/plural) — CANDIDATE ONLY, requires human review"
77,styrofoam,0,yes,marine,marine,marine,3308,4799,3248,1,0,0,polystyrene,,0,1,0,8,0,0,0,,
86,syringe,0,yes,medical,medical,,0,0,0,0,0,0,plastic|metal,,0,1,0,0,0,1,0,,
50,takeaway_container,0,yes,food,food,food,9,9,9,1,0,0,plastic|foam|aluminium|cardboard,,0,1,0,0,0,0,0,,
113,tampon,0,yes,sanitary,sanitary,,0,0,0,0,0,0,plastic,,0,1,0,0,0,1,0,,
59,tape,0,yes,industrial,industrial,industrial,370,391,370,1,0,0,plastic,,0,1,0,0,0,1,1,,
87,test_kit,0,yes,medical,medical,medical,1,1,1,1,0,0,plastic,,0,1,0,0,0,0,0,,
